"year","State","soil","pixels","Area_sqkm","SoilName"
2002,"2",4,812316,731.0844,"Gravelly and Calcic"
2002,"2",5,394310,354.879,"Bedrock and Colluvium"
2002,"2",6,15719,14.1471,"Gypsic"
2002,"2",7,33461,30.1149,"Bottomland"
2002,"2",8,1739544,1565.5896,"Sandy and Deep Sand"
2002,"3",3,9129,8.2161,"Loamy-Clayey"
2002,"3",4,270528,243.4752,"Gravelly and Calcic"
2002,"3",5,245669,221.1021,"Bedrock and Colluvium"
2002,"3",6,3101,2.7909,"Gypsic"
2002,"3",7,7611,6.8499,"Bottomland"
2002,"3",8,321945,289.7505,"Sandy and Deep Sand"
2003,"1",3,17341,15.6069,"Loamy-Clayey"
2003,"1",4,37875,34.0875,"Gravelly and Calcic"
2003,"1",5,12594,11.3346,"Bedrock and Colluvium"
2003,"1",6,1539,1.3851,"Gypsic"
2003,"1",7,3231,2.9079,"Bottomland"
2003,"1",8,78995,71.0955,"Sandy and Deep Sand"
2003,"2",3,126277,113.6493,"Loamy-Clayey"
2003,"2",4,814007,732.6063,"Gravelly and Calcic"
2003,"2",5,396611,356.9499,"Bedrock and Colluvium"
2003,"2",6,15701,14.1309,"Gypsic"
2003,"2",7,33954,30.5586,"Bottomland"
2003,"2",8,1729636,1556.6724,"Sandy and Deep Sand"
2003,"3",3,7219,6.4971,"Loamy-Clayey"
2003,"3",4,266439,239.7951,"Gravelly and Calcic"
2003,"3",5,242146,217.9314,"Bedrock and Colluvium"
2003,"3",6,2955,2.6595,"Gypsic"
2003,"3",7,6720,6.048,"Bottomland"
2003,"3",8,323217,290.8953,"Sandy and Deep Sand"
2004,"1",3,15526,13.9734,"Loamy-Clayey"
2004,"1",4,36429,32.7861,"Gravelly and Calcic"
2004,"1",5,12111,10.8999,"Bedrock and Colluvium"
2004,"1",6,1450,1.305,"Gypsic"
2004,"1",7,3169,2.8521,"Bottomland"
2004,"1",8,73426,66.0834,"Sandy and Deep Sand"
2004,"2",3,128299,115.4691,"Loamy-Clayey"
2004,"2",4,839513,755.5617,"Gravelly and Calcic"
2004,"2",5,388596,349.7364,"Bedrock and Colluvium"
2004,"2",6,16073,14.4657,"Gypsic"
2004,"2",7,34316,30.8844,"Bottomland"
2004,"2",8,1769483,1592.5347,"Sandy and Deep Sand"
2004,"3",3,7012,6.3108,"Loamy-Clayey"
2004,"3",4,242379,218.1411,"Gravelly and Calcic"
2004,"3",5,250644,225.5796,"Bedrock and Colluvium"
2004,"3",6,2672,2.4048,"Gypsic"
2004,"3",7,6420,5.778,"Bottomland"
2004,"3",8,288939,260.0451,"Sandy and Deep Sand"
2005,"1",3,13093,11.7837,"Loamy-Clayey"
2005,"1",4,28121,25.3089,"Gravelly and Calcic"
2005,"1",5,9363,8.4267,"Bedrock and Colluvium"
2005,"1",6,1192,1.0728,"Gypsic"
2005,"1",7,2698,2.4282,"Bottomland"
2005,"1",8,61042,54.9378,"Sandy and Deep Sand"
2005,"2",3,128198,115.3782,"Loamy-Clayey"
2005,"2",4,842814,758.5326,"Gravelly and Calcic"
2005,"2",5,363105,326.7945,"Bedrock and Colluvium"
2005,"2",6,16422,14.7798,"Gypsic"
2005,"2",7,34286,30.8574,"Bottomland"
2005,"2",8,1872003,1684.8027,"Sandy and Deep Sand"
2005,"3",3,9546,8.5914,"Loamy-Clayey"
2005,"3",4,247386,222.6474,"Gravelly and Calcic"
2005,"3",5,278883,250.9947,"Bedrock and Colluvium"
2005,"3",6,2581,2.3229,"Gypsic"
2005,"3",7,6921,6.2289,"Bottomland"
2005,"3",8,198803,178.9227,"Sandy and Deep Sand"
2006,"1",3,14324,12.8916,"Loamy-Clayey"
2006,"1",4,34902,31.4118,"Gravelly and Calcic"
2006,"1",5,11284,10.1556,"Bedrock and Colluvium"
2006,"1",6,1330,1.197,"Gypsic"
2006,"1",7,2842,2.5578,"Bottomland"
2006,"1",8,68422,61.5798,"Sandy and Deep Sand"
2006,"2",3,128030,115.227,"Loamy-Clayey"
2006,"2",4,850722,765.6498,"Gravelly and Calcic"
2006,"2",5,395218,355.6962,"Bedrock and Colluvium"
2006,"2",6,16277,14.6493,"Gypsic"
2006,"2",7,33914,30.5226,"Bottomland"
2006,"2",8,1851886,1666.6974,"Sandy and Deep Sand"
2006,"3",3,8483,7.6347,"Loamy-Clayey"
2006,"3",4,232697,209.4273,"Gravelly and Calcic"
2006,"3",5,244849,220.3641,"Bedrock and Colluvium"
2006,"3",6,2588,2.3292,"Gypsic"
2006,"3",7,7149,6.4341,"Bottomland"
2006,"3",8,211540,190.386,"Sandy and Deep Sand"
2007,"1",3,7587,6.8283,"Loamy-Clayey"
2007,"1",4,30051,27.0459,"Gravelly and Calcic"
2007,"1",5,9191,8.2719,"Bedrock and Colluvium"
2007,"1",6,1013,0.9117,"Gypsic"
2007,"1",7,1947,1.7523,"Bottomland"
2007,"1",8,51183,46.0647,"Sandy and Deep Sand"
2007,"2",3,130697,117.6273,"Loamy-Clayey"
2007,"2",4,822949,740.6541,"Gravelly and Calcic"
2007,"2",5,381178,343.0602,"Bedrock and Colluvium"
2007,"2",6,16192,14.5728,"Gypsic"
2007,"2",7,33541,30.1869,"Bottomland"
2007,"2",8,1817171,1635.4539,"Sandy and Deep Sand"
2007,"3",3,12553,11.2977,"Loamy-Clayey"
2007,"3",4,265321,238.7889,"Gravelly and Calcic"
2007,"3",5,260982,234.8838,"Bedrock and Colluvium"
2007,"3",6,2990,2.691,"Gypsic"
2007,"3",7,8417,7.5753,"Bottomland"
2007,"3",8,263494,237.1446,"Sandy and Deep Sand"
2008,"1",3,11279,10.1511,"Loamy-Clayey"
2008,"1",4,33995,30.5955,"Gravelly and Calcic"
2008,"1",5,11573,10.4157,"Bedrock and Colluvium"
2008,"1",6,1287,1.1583,"Gypsic"
2008,"1",7,2580,2.322,"Bottomland"
2008,"1",8,63278,56.9502,"Sandy and Deep Sand"
2008,"2",3,131057,117.9513,"Loamy-Clayey"
2008,"2",4,811471,730.3239,"Gravelly and Calcic"
2008,"2",5,383592,345.2328,"Bedrock and Colluvium"
2008,"2",6,15995,14.3955,"Gypsic"
2008,"2",7,33151,29.8359,"Bottomland"
2008,"2",8,1783679,1605.3111,"Sandy and Deep Sand"
2008,"3",3,8501,7.6509,"Loamy-Clayey"
2008,"3",4,272855,245.5695,"Gravelly and Calcic"
2008,"3",5,256186,230.5674,"Bedrock and Colluvium"
2008,"3",6,2913,2.6217,"Gypsic"
2008,"3",7,8174,7.3566,"Bottomland"
2008,"3",8,284891,256.4019,"Sandy and Deep Sand"
2009,"1",3,12195,10.9755,"Loamy-Clayey"
2009,"1",4,36233,32.6097,"Gravelly and Calcic"
2009,"1",5,12004,10.8036,"Bedrock and Colluvium"
2009,"1",6,1398,1.2582,"Gypsic"
2009,"1",7,2851,2.5659,"Bottomland"
2009,"1",8,69936,62.9424,"Sandy and Deep Sand"
2009,"2",3,129219,116.2971,"Loamy-Clayey"
2009,"2",4,811547,730.3923,"Gravelly and Calcic"
2009,"2",5,388239,349.4151,"Bedrock and Colluvium"
2009,"2",6,15821,14.2389,"Gypsic"
2009,"2",7,32658,29.3922,"Bottomland"
2009,"2",8,1751340,1576.206,"Sandy and Deep Sand"
2009,"3",3,9423,8.4807,"Loamy-Clayey"
2009,"3",4,270541,243.4869,"Gravelly and Calcic"
2009,"3",5,251108,225.9972,"Bedrock and Colluvium"
2009,"3",6,2976,2.6784,"Gypsic"
2009,"3",7,8396,7.5564,"Bottomland"
2009,"3",8,310572,279.5148,"Sandy and Deep Sand"
2010,"1",3,11827,10.6443,"Loamy-Clayey"
2010,"1",4,37236,33.5124,"Gravelly and Calcic"
2010,"1",5,12630,11.367,"Bedrock and Colluvium"
2010,"1",6,1388,1.2492,"Gypsic"
2010,"1",7,2860,2.574,"Bottomland"
2010,"1",8,69605,62.6445,"Sandy and Deep Sand"
2010,"2",3,128296,115.4664,"Loamy-Clayey"
2010,"2",4,802411,722.1699,"Gravelly and Calcic"
2010,"2",5,385977,347.3793,"Bedrock and Colluvium"
2010,"2",6,15640,14.076,"Gypsic"
2010,"2",7,32383,29.1447,"Bottomland"
2010,"2",8,1730060,1557.054,"Sandy and Deep Sand"
2010,"3",3,10714,9.6426,"Loamy-Clayey"
2010,"3",4,278674,250.8066,"Gravelly and Calcic"
2010,"3",5,252744,227.4696,"Bedrock and Colluvium"
2010,"3",6,3167,2.8503,"Gypsic"
2010,"3",7,8662,7.7958,"Bottomland"
2010,"3",8,332183,298.9647,"Sandy and Deep Sand"
2011,"1",3,15434,13.8906,"Loamy-Clayey"
2011,"1",4,37426,33.6834,"Gravelly and Calcic"
2011,"1",5,12730,11.457,"Bedrock and Colluvium"
2011,"1",6,1469,1.3221,"Gypsic"
2011,"1",7,3076,2.7684,"Bottomland"
2011,"1",8,73498,66.1482,"Sandy and Deep Sand"
2011,"2",3,126678,114.0102,"Loamy-Clayey"
2011,"2",4,806913,726.2217,"Gravelly and Calcic"
2011,"2",5,394265,354.8385,"Bedrock and Colluvium"
2011,"2",6,15707,14.1363,"Gypsic"
2011,"2",7,32560,29.304,"Bottomland"
2011,"2",8,1728680,1555.812,"Sandy and Deep Sand"
2011,"3",3,8725,7.8525,"Loamy-Clayey"
2011,"3",4,273982,246.5838,"Gravelly and Calcic"
2011,"3",5,244356,219.9204,"Bedrock and Colluvium"
2011,"3",6,3019,2.7171,"Gypsic"
2011,"3",7,8269,7.4421,"Bottomland"
2011,"3",8,329670,296.703,"Sandy and Deep Sand"
2013,"1",3,14391,12.9519,"Loamy-Clayey"
2013,"1",4,34972,31.4748,"Gravelly and Calcic"
2013,"1",5,11647,10.4823,"Bedrock and Colluvium"
2013,"1",6,1357,1.2213,"Gypsic"
2013,"1",7,2945,2.6505,"Bottomland"
2013,"1",8,70900,63.81,"Sandy and Deep Sand"
2013,"2",3,127470,114.723,"Loamy-Clayey"
